id;start_date;end_date;language
1;2021-08-01T14:53:46;2021-08-01T12:44:01;ENGLISH
2;2021-08-01T00:21:21;2021-08-01T09:46:50;FRENCH
3;2021-08-01T10:17:33;2021-07-31T22:22:41;SPANISH
4;2021-08-01T14:48:22;2021-07-31T20:14:41;FRENCH
5;2021-08-01T17:04:45;2021-08-01T01:23:43;ENGLISH
6;2021-08-01T02:35:28;2021-08-01T16:35:48;SPANISH
7;2021-08-01T10:39:16;2021-07-31T21:13:25;FRENCH
8;2021-08-01T01:05:09;2021-07-31T21:40:58;FRENCH
9;2021-08-01T01:56:47;2021-08-01T13:28:13;FRENCH
10;2021-07-31T21:53:45;2021-08-01T14:51:14;FRENCH
